#{"t_start": 1721698698.4732277, "env_id": "NormalTBS_Env-v2"}
r,l,t
-154.4,52,933.368551
-267.8,107,936.126833
-490.4,100,936.744693
-460.4,87,937.297778
-620.6,86,940.239142
-1602.6,222,945.153446
-831.0,82,945.615021
-2729.4,151,949.145263
-1746.8,143,949.940135
-515.2,20,950.052647
-1941.4,257,954.562683
-376.2,26,954.723226
-938.4,102,959.155175
-800.8,78,959.589235
-584.6,114,960.299332
-445.6,26,963.187027
-288.8,77,963.634355
-1496.8,117,964.339953
-720.2,37,964.579153
-342.2,93,967.804044
-140.6,37,968.005072
-560.4,46,968.246621
-432.0,70,968.64439
-977.8,112,971.426639
-303.6,61,971.75618
-1036.2,113,974.926523
-665.0,121,975.578609
-2178.8,163,979.438563
-213.4,67,979.817353
-78.8,54,980.151892
-1517.0,181,983.328473
-910.0,75,983.772703
-669.4,29,983.948675
-2775.6,216,987.488775
-450.6,188,991.964727
-155.2,64,992.306782
-180.6,66,992.691773
-1162.6,135,995.642227
-352.0,87,996.204
-49.0,59,996.577052
-835.4,66,999.345794
-327.4,115,1000.039655
-762.4,88,1000.574814
-327.8,102,1003.880866
-574.2,117,1004.517493
-153.2,61,1007.519768
-48.2,55,1007.812732
-216.2,84,1008.290774
-403.8,76,1008.782036
-144.8,87,1011.412487
-367.8,34,1011.614249
-316.2,115,1012.333057
-448.4,159,1015.85747
-409.6,61,1016.20603
-318.2,183,1019.769829
-462.2,96,1020.378793
-50.8,104,1023.633445
-200.6,86,1024.161022
-110.4,83,1024.698266
-68.2,38,1027.131718
-256.4,59,1027.448797
-266.4,18,1027.546934
-552.8,131,1028.322082
-364.2,16,1028.421597
-235.8,109,1031.841486
-1435.2,218,1036.615075
-440.2,127,1037.299521
-827.8,52,1037.613318
-205.6,75,1040.577537
-682.2,122,1041.320745
-513.4,24,1041.480263
-380.2,64,1041.890318
-268.0,26,1044.743888
-470.0,23,1044.880591
-23.4,46,1045.146361
-319.4,37,1045.359096
-560.6,201,1049.33534
-2191.6,280,1054.503202
-489.8,90,1054.984208
-154.8,122,1058.024793
-2269.0,306,1063.637559
-302.6,87,1064.140157
-1460.2,148,1067.521848
-871.2,44,1067.781259
-288.8,127,1068.58859
-348.8,201,1072.341643
-152.6,63,1076.51926
-493.4,130,1077.234069
-1601.0,248,1081.789804
-564.6,108,1082.38381
-679.2,540,1089.354485
-314.4,24,1089.483011
-200.2,61,1089.816754
-516.6,233,1094.062414
-369.8,207,1098.940473
-250.8,40,1099.158836
-676.6,175,1100.16224
-541.6,286,1105.836506
-469.4,40,1106.057099
-148.4,62,1106.395352
-161.2,89,1106.870473
-87.6,122,1109.474113
-111.2,87,1109.992051
-345.8,114,1113.279575
-152.4,54,1113.589155
-336.2,50,1113.888261
-308.2,209,1118.404796
-159.0,218,1123.314919
-121.4,121,1124.04968
-233.8,178,1127.863065
-286.6,181,1128.878455
-544.8,218,1134.039539
-410.0,212,1139.597682
-673.6,157,1144.056233
-9.0,78,1144.548782
-712.6,363,1149.850569
-153.8,81,1150.286377
-122.4,68,1150.65895
-552.0,193,1154.353174
-330.0,139,1155.220415
-108.2,60,1158.582053
-256.0,134,1159.305782
-144.8,90,1159.820797
-63.6,112,1163.65664
-78.8,230,1168.106607
-1534.0,429,1174.586258
-665.0,64,1174.966332
-886.0,140,1175.725448
-593.0,137,1179.293292
-200.0,35,1179.498562
-457.6,46,1179.784801
-806.8,396,1185.039998
-576.2,98,1185.571062
-341.6,104,1186.142498
-868.4,220,1190.016393
-637.8,284,1195.731791
-618.2,237,1201.781054
-256.2,132,1206.815278
-272.2,30,1206.993813
-207.8,126,1210.723361
-557.0,290,1217.289408
-428.2,157,1218.206128
-107.6,123,1222.265473
-191.0,54,1222.555226
-210.4,159,1226.491842
-163.6,9,1226.543891
-63.4,93,1227.089428
-237.6,121,1227.845102
-100.8,51,1230.861459
-164.6,10,1230.917213
-232.2,71,1231.302191
-33.0,107,1231.914616
-86.6,95,1234.940535
-75.4,70,1235.376608
-421.6,170,1238.933136
-508.0,216,1244.30611
-164.2,12,1244.373641
-81.0,199,1245.525946
-163.0,99,1250.23991
-79171.6,3000,1276.064991
-35136.6,2168,1296.775765
-17149.6,1510,1311.27132
-15154.0,1510,1325.935668
-4234.6,684,1334.28954
-5533.0,1221,1347.869333
-3911.8,521,1354.7948
-1259.0,219,1359.877216
-699.0,182,1364.036177
-319.6,22,1364.173704
-419.8,103,1364.837745
-785.0,264,1368.990786
-369.4,88,1373.403952
-421.2,191,1374.555996
-246.6,119,1378.966281
-250.4,156,1379.842728
-343.6,128,1384.068831
-224.4,130,1384.81832
-333.0,134,1388.683866
-297.2,133,1389.458052
-482.0,94,1393.282386
-213.6,14,1393.363422
-104.2,83,1393.849371
-275.2,49,1394.146916
-459.0,307,1398.803074
-448.2,511,1405.895394
-249.4,182,1406.887722
-219.6,20,1406.99424
-183.6,97,1410.970154
-171.4,20,1411.080266
-172.4,102,1411.657701
-216.8,79,1414.403151
-106.6,299,1420.537722
-256.6,361,1426.195931
-267.8,24,1426.348812
-875.2,293,1431.555762
-718.4,319,1438.354316
-483.2,459,1445.143305
-288.0,59,1449.930946
-243.2,100,1450.564548
-388.4,167,1454.392072
-335.4,373,1460.483253
-352.8,72,1460.903599
-492.4,154,1465.541162
-615.8,156,1469.756133
-373.2,177,1470.892851
-599.6,302,1477.03651
-221.8,80,1477.460511
-465.4,208,1481.860375
-119.0,214,1483.079324
-171.8,42,1487.584576
-295.2,134,1488.387124
-429.4,240,1492.654803
-494.0,329,1497.764326
-388.0,226,1503.443518
-196.4,192,1508.64117
-213.6,359,1513.983225
-20.4,56,1518.268783
-54.2,63,1518.613271
-140.8,118,1519.323802
-199.2,31,1519.525846
-393.0,391,1524.940927
-133.2,222,1529.257712
-415.2,279,1534.083043
-228.8,46,1534.34035
-319.6,235,1538.403636
15.4,61,1538.740221
-98.4,96,1542.586554
-165.4,26,1542.732069
-197.8,104,1543.345846
-22.0,48,1543.659332
-15.8,53,1546.491106
-285.6,57,1546.815017
-223.0,33,1547.011824
-214.0,61,1547.380521
-4.8,83,1547.880987
-294.2,188,1551.229138
-269.2,252,1556.616308
-248.4,28,1556.807271
-335.4,103,1561.197045
-280.6,36,1561.396832
-95.4,79,1561.832364
-463.2,205,1565.225605
-160.6,66,1565.664844
-303.8,200,1569.692445
-315.0,227,1574.163931
-413.4,21,1574.287957
-399.2,171,1578.375449
-214.6,11,1578.439451
-332.2,185,1579.546826
-429.6,227,1584.467565
-443.4,158,1589.480267
-606.2,319,1594.690619
-334.0,231,1599.157
-31.0,93,1599.676053
-230.2,122,1603.49241
-53.4,85,1603.960639
-75.8,129,1607.181542
-72.4,257,1612.911003
-120.0,230,1617.823747
-35.0,164,1618.722284
-16.4,105,1622.56164
-276.4,86,1623.025704
-304.4,124,1626.590164
-428.4,234,1627.904958
-215.0,14,1628.008657
-224.0,42,1632.769421
-162.2,10,1632.822933
-196.2,184,1633.849818
-168.4,90,1638.274183
-142.6,17,1638.367284
-224.8,39,1638.591871
-341.4,92,1639.199151
-234.8,114,1642.276943
-671.0,314,1648.098869
-45.6,122,1648.804105
-155.0,134,1652.729779
-163.2,11,1652.792789
-36.4,121,1656.59287
-239.2,91,1657.085469
-602.0,351,1662.498076
-312.8,54,1662.827633
-396.0,80,1667.364869
-32.2,93,1667.928095
-165.4,18,1668.042205
-297.8,154,1671.157899
-244.2,180,1675.708086
-153.6,85,1676.191869
-314.8,75,1676.617316
-209.0,68,1677.053353
-167.4,16,1677.155868
-240.2,99,1679.889049
-107.8,120,1680.58324
-155.0,47,1683.743136
0.8,41,1683.97289
-233.6,46,1684.225113
-169.8,24,1684.353626
-370.8,103,1684.972871
-83.8,102,1687.989453
-126.0,127,1688.729512
-68.4,72,1692.007036
-26.8,66,1692.366817
-172.2,123,1693.077907
-172.0,19,1693.194934
-168.0,19,1693.315957
-19.2,105,1696.819614
-171.4,20,1696.931309
-131.6,116,1697.598397
-153.8,41,1700.378746
-647.0,185,1701.466166
-304.2,39,1701.71699
-227.0,170,1706.46273
-97.4,91,1706.982079
-2993.4,802,1715.857719
-4339.8,436,1723.167909
-130.8,276,1728.665808
-1048.6,309,1734.89655
-2623.0,926,1745.35526
-361.6,64,1745.704841
-226.8,117,1749.485381
-763.8,152,1750.446254
-1817.6,279,1755.937707
-1108.8,306,1762.059366
-1204.6,432,1768.383806
-1041.6,700,1777.520448
-206.4,74,1777.917279
-421.6,115,1782.084824
-165.8,21,1782.198456
-178.0,75,1782.603347
-109.0,94,1785.446334
-110.6,137,1786.215982
-235.4,48,1786.51807
-247.6,230,1790.822431
-269.4,220,1795.986253
-591.4,180,1800.316454
-207.0,99,1800.910953
-44.4,112,1803.915083
-288.6,175,1804.964285
-428.6,190,1809.631714
-291.2,65,1809.984352
-372.8,190,1814.006235
-52.4,91,1814.617604
-163.8,18,1814.73912
-263.0,269,1820.030271
-42.4,138,1820.796822
-141.2,130,1824.603761
-641.8,205,1825.741069
-450.8,268,1831.379699
-231.8,55,1836.102849
-199.8,92,1836.607135
-405.0,135,1840.333133
-170.4,23,1840.458856
-566.0,217,1841.689227
-132.6,117,1846.422742
-517.0,117,1847.166694
-56.2,50,1850.300094
-356.8,186,1851.381155
-78.0,93,1855.505592
-159.2,64,1855.852131
-336.8,56,1856.160194
-498.8,249,1859.708683
-317.2,26,1859.852907
-184.0,93,1863.543113
-98.8,115,1864.227092
-169.6,35,1864.449436
-310.4,98,1867.744337
-287.6,51,1868.022689
-242.0,65,1868.3798
-476.6,143,1872.053208
-593.8,256,1877.852527
-199.0,34,1878.037553
-8.2,58,1878.356103
-3.0,48,1878.628638
-853.0,403,1884.034367
-60.6,64,1884.389428
-172.6,18,1884.484898
-249.2,32,1884.655417
-185.0,96,1885.174521
-167.8,22,1887.672334
-464.4,223,1889.020273
-80.6,86,1894.008934
-236.2,188,1898.664911
-161.6,234,1900.013888
-85.2,105,1904.796951
-117.2,96,1905.32743
-37.8,105,1908.296788
-321.0,86,1908.779348
-446.0,112,1909.385032
-694.8,168,1913.008733
-672.0,245,1917.648042
-491.8,109,1918.30082
-649.0,425,1924.353285
-240.8,198,1928.893885
-39.4,145,1929.706675
-332.8,134,1933.804858
-267.0,143,1937.933207
-166.8,25,1938.069171
-118.6,165,1938.993132
-234.6,132,1943.049636
-190.0,93,1943.569604
-124.0,103,1946.507974
-506.8,355,1953.305984
-227.8,41,1953.537537
12.2,85,1954.05922
-292.6,141,1957.454547
-26.2,84,1957.929103
-23.6,83,1961.245667
-171.0,30,1961.412144
-268.0,118,1962.087749
-174.0,101,1965.330881
-196.8,116,1965.964415
-75.0,122,1969.518667
-250.2,69,1969.903194
-88.6,131,1970.600998
-16.8,97,1974.168742
-291.6,116,1974.79265
-180.6,34,1974.9804
-160.4,132,1978.451366
-155.8,59,1978.78278
-191.6,140,1982.306205
-189.8,80,1982.74544
-401.0,277,1987.777799
-207.2,47,1988.023406
-199.4,76,1988.438651
-75.6,159,1992.218915
-106.8,92,1992.755053
-374.0,115,1996.72727
-291.6,89,1997.198519
-297.0,157,2000.508403
-198.6,92,2001.026224
-207.0,137,2004.176488
-124.6,94,2004.67833
-138.6,101,2005.277034
-372.2,311,2010.116823
-259.0,89,2010.584393
-203.4,85,2011.034146
-172.8,356,2015.829292
-187.4,68,2016.185226
-69.6,99,2016.712651
-331.0,219,2020.141749
-557.2,84,2024.276535
-122197.6,3000,2048.920526
-124330.4,3000,2073.582188
-103562.6,3000,2097.872022
-101261.8,3000,2122.173237
-46893.8,1327,2136.19456
-17927.8,517,2143.696304
-87558.8,3000,2168.210677
-21640.8,1067,2179.621485
-47717.4,1671,2195.147624
-9651.6,361,2201.097273
-13073.2,475,2208.135464
-7222.0,236,2213.842579
-64070.2,2723,2237.119246
-41733.4,2770,2259.81161
-5455.0,380,2265.196766
-11977.4,420,2271.885286
-6307.4,257,2276.525868
-19105.4,629,2283.601242
-23593.4,1296,2296.463805
-2323.8,80,2301.148068
-3997.8,170,2302.054928
-15958.2,1004,2312.217671
-6997.4,365,2318.941652
-1896.2,180,2319.882648
-2320.6,415,2326.313457
-1151.0,45,2326.560845
-4006.8,181,2330.497701
-2076.2,265,2335.340447
-5074.8,514,2341.848458
-3091.0,450,2347.978503
-1297.2,158,2348.807968
